,Produit,Année,Unité,Valeur
308,Vegetables and Fruit Primary,2011,,95.39
309,Vegetables and Fruit Primary,2012,,100.72
310,Vegetables and Fruit Primary,2013,,99.24
311,Vegetables and Fruit Primary,2014,,99.53
312,Vegetables and Fruit Primary,2015,,100.0
313,Vegetables and Fruit Primary,2016,,100.46
314,Vegetables and Fruit Primary,2017,,100.3
315,Vegetables and Fruit Primary,2018,,100.82
316,Vegetables and Fruit Primary,2019,,101.41
317,Vegetables and Fruit Primary,2020,,101.25
318,Vegetables and Fruit Primary,2021,,102.08
319,Vegetables and Fruit Primary,2022,,102.44
320,Vegetables and Fruit Primary,2023,,102.65
321,Vegetables and Fruit Primary,2024,,102.99
