,Élément,Produit,Année,Unité,Valeur,Symbole,Description du Symbole,Note
641,Rendement,Graines de ricin,2019,kg/ha,78.8,E,Valeur estimée,
642,Production,Graines de ricin,2019,tonnes,80.03,E,Valeur estimée,
643,Superficie récoltée,Graines de ricin,2020,ha,1035.0,I,Valeur imputée par une agence réceptrice,
644,Rendement,Graines de ricin,2020,kg/ha,79.0,E,Valeur estimée,
645,Production,Graines de ricin,2020,tonnes,81.84,I,Valeur imputée par une agence réceptrice,
646,Superficie récoltée,Graines de ricin,2021,ha,1030.0,E,Valeur estimée,
647,Rendement,Graines de ricin,2021,kg/ha,79.2,E,Valeur estimée,
648,Production,Graines de ricin,2021,tonnes,81.49,E,Valeur estimée,
649,Superficie récoltée,Graines de ricin,2022,ha,1027.0,E,Valeur estimée,
650,Rendement,Graines de ricin,2022,kg/ha,79.0,E,Valeur estimée,
651,Production,Graines de ricin,2022,tonnes,81.12,E,Valeur estimée,
652,Superficie récoltée,Graines de ricin,2023,ha,1031.0,E,Valeur estimée,
653,Rendement,Graines de ricin,2023,kg/ha,79.1,E,Valeur estimée,
654,Production,Graines de ricin,2023,tonnes,81.49,E,Valeur estimée,
655,Superficie récoltée,Graines de ricin,2024,ha,1029.0,E,Valeur estimée,
656,Rendement,Graines de ricin,2024,kg/ha,79.1,E,Valeur estimée,
657,Production,Graines de ricin,2024,tonnes,81.37,E,Valeur estimée,
658,Production,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",2021,tonnes,91.2,I,Valeur imputée par une agence réceptrice,
659,Production,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",2022,tonnes,40.8,I,Valeur imputée par une agence réceptrice,
660,Superficie récoltée,Haricots secs,2010,ha,210617.0,A,Chiffre officiel,
661,Rendement,Haricots secs,2010,kg/ha,361.7,A,Chiffre officiel,
662,Production,Haricots secs,2010,tonnes,76190.0,A,Chiffre officiel,
663,Superficie récoltée,Haricots secs,2011,ha,207172.0,A,Chiffre officiel,
664,Rendement,Haricots secs,2011,kg/ha,369.1,A,Chiffre officiel,
665,Production,Haricots secs,2011,tonnes,76465.0,A,Chiffre officiel,
666,Superficie récoltée,Haricots secs,2012,ha,262227.0,A,Chiffre officiel,
667,Rendement,Haricots secs,2012,kg/ha,505.8,A,Chiffre officiel,
668,Production,Haricots secs,2012,tonnes,132636.0,A,Chiffre officiel,
669,Superficie récoltée,Haricots secs,2013,ha,353265.0,A,Chiffre officiel,
670,Rendement,Haricots secs,2013,kg/ha,297.1,A,Chiffre officiel,
671,Production,Haricots secs,2013,tonnes,104942.0,A,Chiffre officiel,
672,Superficie récoltée,Haricots secs,2014,ha,363936.0,A,Chiffre officiel,
673,Rendement,Haricots secs,2014,kg/ha,460.4,A,Chiffre officiel,
674,Production,Haricots secs,2014,tonnes,167538.0,A,Chiffre officiel,
675,Superficie récoltée,Haricots secs,2015,ha,361525.0,A,Chiffre officiel,
676,Rendement,Haricots secs,2015,kg/ha,490.7,A,Chiffre officiel,
677,Production,Haricots secs,2015,tonnes,177417.0,A,Chiffre officiel,
678,Superficie récoltée,Haricots secs,2016,ha,357926.0,A,Chiffre officiel,
679,Rendement,Haricots secs,2016,kg/ha,464.2,A,Chiffre officiel,
680,Production,Haricots secs,2016,tonnes,166150.0,A,Chiffre officiel,
681,Superficie récoltée,Haricots secs,2017,ha,369567.0,A,Chiffre officiel,
682,Rendement,Haricots secs,2017,kg/ha,539.4,A,Chiffre officiel,
683,Production,Haricots secs,2017,tonnes,199359.0,A,Chiffre officiel,
684,Superficie récoltée,Haricots secs,2018,ha,378775.0,A,Chiffre officiel,
685,Rendement,Haricots secs,2018,kg/ha,548.0,A,Chiffre officiel,
686,Production,Haricots secs,2018,tonnes,207552.0,A,Chiffre officiel,
687,Superficie récoltée,Haricots secs,2019,ha,388826.0,A,Chiffre officiel,
688,Rendement,Haricots secs,2019,kg/ha,521.4,A,Chiffre officiel,
689,Production,Haricots secs,2019,tonnes,202730.0,A,Chiffre officiel,
690,Superficie récoltée,Haricots secs,2020,ha,383664.0,A,Chiffre officiel,
691,Rendement,Haricots secs,2020,kg/ha,527.2,A,Chiffre officiel,
692,Production,Haricots secs,2020,tonnes,202265.0,A,Chiffre officiel,
693,Superficie récoltée,Haricots secs,2021,ha,391971.0,A,Chiffre officiel,
694,Rendement,Haricots secs,2021,kg/ha,540.5,A,Chiffre officiel,
695,Production,Haricots secs,2021,tonnes,211876.0,A,Chiffre officiel,
696,Superficie récoltée,Haricots secs,2022,ha,394376.0,A,Chiffre officiel,
697,Rendement,Haricots secs,2022,kg/ha,549.0,A,Chiffre officiel,
698,Production,Haricots secs,2022,tonnes,216518.0,A,Chiffre officiel,
699,Superficie récoltée,Haricots secs,2023,ha,396001.0,I,Valeur imputée par une agence réceptrice,
700,Rendement,Haricots secs,2023,kg/ha,565.7,E,Valeur estimée,
701,Production,Haricots secs,2023,tonnes,224008.91,I,Valeur imputée par une agence réceptrice,
702,Superficie récoltée,Haricots secs,2024,ha,414768.0,I,Valeur imputée par une agence réceptrice,
703,Rendement,Haricots secs,2024,kg/ha,574.1,E,Valeur estimée,
704,Production,Haricots secs,2024,tonnes,238135.07,I,Valeur imputée par une agence réceptrice,
705,Production,Huile d'arachide,2010,tonnes,1376.52,I,Valeur imputée par une agence réceptrice,
706,Production,Huile d'arachide,2011,tonnes,1402.44,I,Valeur imputée par une agence réceptrice,
707,Production,Huile d'arachide,2012,tonnes,1292.21,I,Valeur imputée par une agence réceptrice,
708,Production,Huile d'arachide,2013,tonnes,1151.46,I,Valeur imputée par une agence réceptrice,
709,Production,Huile d'arachide,2014,tonnes,1210.71,I,Valeur imputée par une agence réceptrice,
710,Production,Huile d'arachide,2015,tonnes,1216.79,I,Valeur imputée par une agence réceptrice,
711,Production,Huile d'arachide,2016,tonnes,1205.3,I,Valeur imputée par une agence réceptrice,
712,Production,Huile d'arachide,2017,tonnes,1125.94,I,Valeur imputée par une agence réceptrice,
713,Production,Huile d'arachide,2018,tonnes,1212.35,I,Valeur imputée par une agence réceptrice,
714,Production,Huile d'arachide,2019,tonnes,894.23,I,Valeur imputée par une agence réceptrice,
715,Production,Huile d'arachide,2020,tonnes,1117.29,I,Valeur imputée par une agence réceptrice,
716,Production,Huile d'arachide,2021,tonnes,1102.01,I,Valeur imputée par une agence réceptrice,
717,Production,Huile d'arachide,2022,tonnes,1061.96,I,Valeur imputée par une agence réceptrice,
718,Production,Huile d'arachide,2023,tonnes,1132.51,I,Valeur imputée par une agence réceptrice,
719,Production,Huile de coco,2010,tonnes,1760.0,I,Valeur imputée par une agence réceptrice,
720,Production,Huile de coco,2011,tonnes,1760.0,I,Valeur imputée par une agence réceptrice,
721,Production,Huile de coco,2012,tonnes,1655.04,I,Valeur imputée par une agence réceptrice,
722,Production,Huile de coco,2013,tonnes,1541.12,I,Valeur imputée par une agence réceptrice,
723,Production,Huile de coco,2014,tonnes,1600.0,I,Valeur imputée par une agence réceptrice,
724,Production,Huile de coco,2015,tonnes,1242.2,I,Valeur imputée par une agence réceptrice,
725,Production,Huile de coco,2016,tonnes,1346.33,I,Valeur imputée par une agence réceptrice,
726,Production,Huile de coco,2017,tonnes,1345.74,I,Valeur imputée par une agence réceptrice,
727,Production,Huile de coco,2018,tonnes,1362.39,I,Valeur imputée par une agence réceptrice,
728,Production,Huile de coco,2019,tonnes,1335.39,I,Valeur imputée par une agence réceptrice,
729,Production,Huile de coco,2020,tonnes,1314.72,I,Valeur imputée par une agence réceptrice,
730,Production,Huile de coco,2021,tonnes,1583.79,I,Valeur imputée par une agence réceptrice,
731,Production,Huile de coco,2022,tonnes,1724.76,I,Valeur imputée par une agence réceptrice,
732,Production,Huile de coco,2023,tonnes,1824.58,I,Valeur imputée par une agence réceptrice,
733,Production,Huile de coton,2010,tonnes,3400.0,X,Chiffre de source externe,Chiffre non officiel
734,Production,Huile de coton,2011,tonnes,5300.0,X,Chiffre de source externe,Chiffre non officiel
735,Production,Huile de coton,2012,tonnes,6800.0,X,Chiffre de source externe,Chiffre non officiel
736,Production,Huile de coton,2013,tonnes,8200.0,X,Chiffre de source externe,Chiffre non officiel
737,Production,Huile de coton,2014,tonnes,7600.0,X,Chiffre de source externe,Chiffre non officiel
738,Production,Huile de coton,2015,tonnes,5800.0,X,Chiffre de source externe,Chiffre non officiel
739,Production,Huile de coton,2016,tonnes,5100.0,X,Chiffre de source externe,Chiffre non officiel
740,Production,Huile de coton,2017,tonnes,7600.0,X,Chiffre de source externe,Chiffre non officiel
741,Production,Huile de coton,2018,tonnes,9400.0,X,Chiffre de source externe,Chiffre non officiel
742,Production,Huile de coton,2019,tonnes,10800.0,X,Chiffre de source externe,Chiffre non officiel
743,Production,Huile de coton,2020,tonnes,8900.0,X,Chiffre de source externe,Chiffre non officiel
744,Production,Huile de coton,2021,tonnes,6800.0,X,Chiffre de source externe,Chiffre non officiel
745,Production,Huile de coton,2022,tonnes,7600.0,X,Chiffre de source externe,Chiffre non officiel
746,Production,Huile de coton,2023,tonnes,7100.0,X,Chiffre de source externe,Chiffre non officiel
747,Production,Huile de palme,2017,tonnes,23000.0,X,Chiffre de source externe,Chiffre non officiel
748,Production,Huile de palme,2018,tonnes,23000.0,X,Chiffre de source externe,Chiffre non officiel
749,Production,Huile de palme,2019,tonnes,24000.0,X,Chiffre de source externe,Chiffre non officiel
750,Production,Huile de palme,2020,tonnes,22000.0,X,Chiffre de source externe,Chiffre non officiel
751,Production,Huile de palme,2021,tonnes,22000.0,X,Chiffre de source externe,Chiffre non officiel
752,Production,Huile de palme,2022,tonnes,24000.0,X,Chiffre de source externe,Chiffre non officiel
753,Production,Huile de palme,2023,tonnes,21000.0,X,Chiffre de source externe,Chiffre non officiel
754,Production,Huile de palmiste,2010,tonnes,9500.0,X,Chiffre de source externe,Chiffre non officiel
755,Production,Huile de palmiste,2011,tonnes,8600.0,X,Chiffre de source externe,Chiffre non officiel
756,Production,Huile de palmiste,2012,tonnes,12200.0,X,Chiffre de source externe,Chiffre non officiel
757,Production,Huile de palmiste,2013,tonnes,14200.0,X,Chiffre de source externe,Chiffre non officiel
758,Production,Huile de palmiste,2014,tonnes,13500.0,X,Chiffre de source externe,Chiffre non officiel
759,Production,Huile de palmiste,2015,tonnes,12700.0,X,Chiffre de source externe,Chiffre non officiel
760,Production,Huile de palmiste,2016,tonnes,12300.0,X,Chiffre de source externe,Chiffre non officiel
761,Production,Huile de palmiste,2017,tonnes,14200.0,X,Chiffre de source externe,Chiffre non officiel
762,Production,Huile de palmiste,2018,tonnes,14700.0,X,Chiffre de source externe,Chiffre non officiel
763,Production,Huile de palmiste,2019,tonnes,14900.0,X,Chiffre de source externe,Chiffre non officiel
764,Production,Huile de palmiste,2020,tonnes,15600.0,X,Chiffre de source externe,Chiffre non officiel
765,Production,Huile de palmiste,2021,tonnes,16000.0,X,Chiffre de source externe,Chiffre non officiel
766,Production,Huile de palmiste,2022,tonnes,16000.0,X,Chiffre de source externe,Chiffre non officiel
767,Production,Huile de palmiste,2023,tonnes,16000.0,X,Chiffre de source externe,Chiffre non officiel
768,Production,Huile de soja,2010,tonnes,571.5,I,Valeur imputée par une agence réceptrice,
769,Production,Huile de soja,2011,tonnes,190.7,I,Valeur imputée par une agence réceptrice,
770,Production,Huile de soja,2020,tonnes,12700.0,X,Chiffre de source externe,Chiffre non officiel
771,Production,Huile de soja,2021,tonnes,9200.0,X,Chiffre de source externe,Chiffre non officiel
772,Production,Huile de soja,2022,tonnes,8900.0,X,Chiffre de source externe,Chiffre non officiel
773,Production,Huile de soja,2023,tonnes,35000.0,X,Chiffre de source externe,Chiffre non officiel
774,Superficie récoltée,"Huile, noix de palme",2010,ha,13541.0,I,Valeur imputée par une agence réceptrice,
775,Rendement,"Huile, noix de palme",2010,kg/ha,8591.9,E,Valeur estimée,
776,Production,"Huile, noix de palme",2010,tonnes,116338.96,I,Valeur imputée par une agence réceptrice,
777,Superficie récoltée,"Huile, noix de palme",2011,ha,13511.0,I,Valeur imputée par une agence réceptrice,
778,Rendement,"Huile, noix de palme",2011,kg/ha,8606.6,E,Valeur estimée,
779,Production,"Huile, noix de palme",2011,tonnes,116279.67,I,Valeur imputée par une agence réceptrice,
780,Superficie récoltée,"Huile, noix de palme",2012,ha,13492.0,I,Valeur imputée par une agence réceptrice,
781,Rendement,"Huile, noix de palme",2012,kg/ha,8620.8,E,Valeur estimée,
782,Production,"Huile, noix de palme",2012,tonnes,116313.7,I,Valeur imputée par une agence réceptrice,
783,Superficie récoltée,"Huile, noix de palme",2013,ha,13350.0,I,Valeur imputée par une agence réceptrice,
784,Rendement,"Huile, noix de palme",2013,kg/ha,8647.7,E,Valeur estimée,
785,Production,"Huile, noix de palme",2013,tonnes,115444.96,I,Valeur imputée par une agence réceptrice,
786,Superficie récoltée,"Huile, noix de palme",2014,ha,13307.0,I,Valeur imputée par une agence réceptrice,
787,Rendement,"Huile, noix de palme",2014,kg/ha,8658.4,E,Valeur estimée,
788,Production,"Huile, noix de palme",2014,tonnes,115214.96,I,Valeur imputée par une agence réceptrice,
789,Superficie récoltée,"Huile, noix de palme",2015,ha,13316.0,I,Valeur imputée par une agence réceptrice,
790,Rendement,"Huile, noix de palme",2015,kg/ha,8672.7,E,Valeur estimée,
791,Production,"Huile, noix de palme",2015,tonnes,115488.85,I,Valeur imputée par une agence réceptrice,
792,Superficie récoltée,"Huile, noix de palme",2016,ha,13338.0,I,Valeur imputée par une agence réceptrice,
793,Rendement,"Huile, noix de palme",2016,kg/ha,8682.9,E,Valeur estimée,
794,Production,"Huile, noix de palme",2016,tonnes,115815.38,I,Valeur imputée par une agence réceptrice,
795,Superficie récoltée,"Huile, noix de palme",2017,ha,13379.0,I,Valeur imputée par une agence réceptrice,
796,Rendement,"Huile, noix de palme",2017,kg/ha,8685.6,E,Valeur estimée,
797,Production,"Huile, noix de palme",2017,tonnes,116204.71,I,Valeur imputée par une agence réceptrice,
798,Superficie récoltée,"Huile, noix de palme",2018,ha,13441.0,I,Valeur imputée par une agence réceptrice,
799,Rendement,"Huile, noix de palme",2018,kg/ha,8680.1,E,Valeur estimée,
800,Production,"Huile, noix de palme",2018,tonnes,116668.97,I,Valeur imputée par une agence réceptrice,
801,Superficie récoltée,"Huile, noix de palme",2019,ha,13371.0,I,Valeur imputée par une agence réceptrice,
802,Rendement,"Huile, noix de palme",2019,kg/ha,8675.6,E,Valeur estimée,
803,Production,"Huile, noix de palme",2019,tonnes,116000.0,E,Valeur estimée,
804,Superficie récoltée,"Huile, noix de palme",2020,ha,13522.0,I,Valeur imputée par une agence réceptrice,
805,Rendement,"Huile, noix de palme",2020,kg/ha,8652.4,E,Valeur estimée,
806,Production,"Huile, noix de palme",2020,tonnes,117000.0,E,Valeur estimée,
807,Superficie récoltée,"Huile, noix de palme",2021,ha,13824.0,E,Valeur estimée,
808,Rendement,"Huile, noix de palme",2021,kg/ha,8680.6,E,Valeur estimée,
809,Production,"Huile, noix de palme",2021,tonnes,120000.0,E,Valeur estimée,
810,Superficie récoltée,"Huile, noix de palme",2022,ha,15823.0,E,Valeur estimée,
811,Rendement,"Huile, noix de palme",2022,kg/ha,8234.8,E,Valeur estimée,
812,Production,"Huile, noix de palme",2022,tonnes,130300.0,E,Valeur estimée,
813,Superficie récoltée,"Huile, noix de palme",2023,ha,17083.0,I,Valeur imputée par une agence réceptrice,
814,Rendement,"Huile, noix de palme",2023,kg/ha,8242.1,E,Valeur estimée,
815,Production,"Huile, noix de palme",2023,tonnes,140800.0,E,Valeur estimée,
816,Superficie récoltée,"Huile, noix de palme",2024,ha,16800.0,I,Valeur imputée par une agence réceptrice,
817,Rendement,"Huile, noix de palme",2024,kg/ha,8519.5,E,Valeur estimée,
818,Production,"Huile, noix de palme",2024,tonnes,143129.71,I,Valeur imputée par une agence réceptrice,
819,Superficie récoltée,Ignames,2010,ha,71529.0,A,Chiffre officiel,
820,Rendement,Ignames,2010,kg/ha,9932.8,A,Chiffre officiel,
821,Production,Ignames,2010,tonnes,710481.0,A,Chiffre officiel,
822,Superficie récoltée,Ignames,2011,ha,71226.0,A,Chiffre officiel,
823,Rendement,Ignames,2011,kg/ha,10217.5,A,Chiffre officiel,
824,Production,Ignames,2011,tonnes,727749.0,A,Chiffre officiel,
825,Superficie récoltée,Ignames,2012,ha,106279.0,A,Chiffre officiel,
826,Rendement,Ignames,2012,kg/ha,8133.4,A,Chiffre officiel,
827,Production,Ignames,2012,tonnes,864408.0,A,Chiffre officiel,
828,Superficie récoltée,Ignames,2013,ha,67241.0,A,Chiffre officiel,
829,Rendement,Ignames,2013,kg/ha,9833.3,A,Chiffre officiel,
830,Production,Ignames,2013,tonnes,661200.0,A,Chiffre officiel,
831,Superficie récoltée,Ignames,2014,ha,100677.0,A,Chiffre officiel,
832,Rendement,Ignames,2014,kg/ha,7811.1,A,Chiffre officiel,
833,Production,Ignames,2014,tonnes,786394.0,A,Chiffre officiel,
834,Superficie récoltée,Ignames,2015,ha,86564.0,A,Chiffre officiel,
835,Rendement,Ignames,2015,kg/ha,9027.1,A,Chiffre officiel,
836,Production,Ignames,2015,tonnes,781419.0,A,Chiffre officiel,
837,Superficie récoltée,Ignames,2016,ha,91065.0,A,Chiffre officiel,
838,Rendement,Ignames,2016,kg/ha,8938.5,A,Chiffre officiel,
839,Production,Ignames,2016,tonnes,813985.0,A,Chiffre officiel,
840,Superficie récoltée,Ignames,2017,ha,90643.0,A,Chiffre officiel,
841,Rendement,Ignames,2017,kg/ha,9118.8,A,Chiffre officiel,
842,Production,Ignames,2017,tonnes,826553.0,A,Chiffre officiel,
843,Superficie récoltée,Ignames,2018,ha,93853.0,A,Chiffre officiel,
844,Rendement,Ignames,2018,kg/ha,9150.3,A,Chiffre officiel,
845,Production,Ignames,2018,tonnes,858783.0,A,Chiffre officiel,
846,Superficie récoltée,Ignames,2019,ha,97694.0,A,Chiffre officiel,
847,Rendement,Ignames,2019,kg/ha,8949.0,A,Chiffre officiel,
848,Production,Ignames,2019,tonnes,874267.0,A,Chiffre officiel,
849,Superficie récoltée,Ignames,2020,ha,104141.0,A,Chiffre officiel,
850,Rendement,Ignames,2020,kg/ha,9034.6,A,Chiffre officiel,
851,Production,Ignames,2020,tonnes,940876.0,A,Chiffre officiel,
852,Superficie récoltée,Ignames,2021,ha,106277.0,A,Chiffre officiel,
853,Rendement,Ignames,2021,kg/ha,9037.1,A,Chiffre officiel,
854,Production,Ignames,2021,tonnes,960431.0,A,Chiffre officiel,
855,Superficie récoltée,Ignames,2022,ha,108871.0,A,Chiffre officiel,
856,Rendement,Ignames,2022,kg/ha,9043.9,A,Chiffre officiel,
857,Production,Ignames,2022,tonnes,984614.0,A,Chiffre officiel,
858,Superficie récoltée,Ignames,2023,ha,108528.0,I,Valeur imputée par une agence réceptrice,
859,Rendement,Ignames,2023,kg/ha,8965.5,E,Valeur estimée,
860,Production,Ignames,2023,tonnes,973008.88,I,Valeur imputée par une agence réceptrice,
861,Superficie récoltée,Ignames,2024,ha,109444.0,I,Valeur imputée par une agence réceptrice,
862,Rendement,Ignames,2024,kg/ha,8976.1,E,Valeur estimée,
863,Production,Ignames,2024,tonnes,982383.98,I,Valeur imputée par une agence réceptrice,
864,Superficie récoltée,Maïs,2010,ha,534572.0,A,Chiffre officiel,
865,Rendement,Maïs,2010,kg/ha,1193.7,A,Chiffre officiel,
866,Production,Maïs,2010,tonnes,638129.0,A,Chiffre officiel,
867,Superficie récoltée,Maïs,2011,ha,522630.0,A,Chiffre officiel,
868,Rendement,Maïs,2011,kg/ha,1245.3,A,Chiffre officiel,
869,Production,Maïs,2011,tonnes,650831.0,A,Chiffre officiel,
870,Superficie récoltée,Maïs,2012,ha,693035.0,A,Chiffre officiel,
871,Rendement,Maïs,2012,kg/ha,1191.4,A,Chiffre officiel,
872,Production,Maïs,2012,tonnes,825710.0,A,Chiffre officiel,
873,Superficie récoltée,Maïs,2013,ha,749288.0,A,Chiffre officiel,
874,Rendement,Maïs,2013,kg/ha,924.4,A,Chiffre officiel,
875,Production,Maïs,2013,tonnes,692610.0,A,Chiffre officiel,
876,Superficie récoltée,Maïs,2014,ha,696588.0,A,Chiffre officiel,
877,Rendement,Maïs,2014,kg/ha,1195.9,A,Chiffre officiel,
878,Production,Maïs,2014,tonnes,833044.0,A,Chiffre officiel,
879,Superficie récoltée,Maïs,2015,ha,571886.0,A,Chiffre officiel,
880,Rendement,Maïs,2015,kg/ha,1389.5,A,Chiffre officiel,
881,Production,Maïs,2015,tonnes,794661.0,A,Chiffre officiel,
882,Superficie récoltée,Maïs,2016,ha,675831.0,A,Chiffre officiel,
883,Rendement,Maïs,2016,kg/ha,1223.5,A,Chiffre officiel,
884,Production,Maïs,2016,tonnes,826896.0,A,Chiffre officiel,
885,Superficie récoltée,Maïs,2017,ha,694422.0,A,Chiffre officiel,
886,Rendement,Maïs,2017,kg/ha,1230.8,A,Chiffre officiel,
887,Production,Maïs,2017,tonnes,854689.0,A,Chiffre officiel,
888,Superficie récoltée,Maïs,2018,ha,715275.0,A,Chiffre officiel,
889,Rendement,Maïs,2018,kg/ha,1239.6,A,Chiffre officiel,
890,Production,Maïs,2018,tonnes,886630.0,A,Chiffre officiel,
891,Superficie récoltée,Maïs,2019,ha,743273.0,A,Chiffre officiel,
892,Rendement,Maïs,2019,kg/ha,1227.1,A,Chiffre officiel,
893,Production,Maïs,2019,tonnes,912086.0,A,Chiffre officiel,
894,Superficie récoltée,Maïs,2020,ha,721872.0,A,Chiffre officiel,
895,Rendement,Maïs,2020,kg/ha,1226.0,A,Chiffre officiel,
896,Production,Maïs,2020,tonnes,885030.0,A,Chiffre officiel,
897,Superficie récoltée,Maïs,2021,ha,755187.0,A,Chiffre officiel,
898,Rendement,Maïs,2021,kg/ha,1230.2,A,Chiffre officiel,
899,Production,Maïs,2021,tonnes,929020.0,A,Chiffre officiel,
900,Superficie récoltée,Maïs,2022,ha,763336.0,A,Chiffre officiel,
901,Rendement,Maïs,2022,kg/ha,1253.8,A,Chiffre officiel,
902,Production,Maïs,2022,tonnes,957047.0,A,Chiffre officiel,
903,Superficie récoltée,Maïs,2023,ha,808000.0,X,Chiffre de source externe,Chiffre non officiel
904,Rendement,Maïs,2023,kg/ha,1253.7,X,Chiffre de source externe,
905,Production,Maïs,2023,tonnes,1013000.0,X,Chiffre de source externe,Chiffre non officiel
906,Superficie récoltée,Maïs,2024,ha,804000.0,X,Chiffre de source externe,Chiffre non officiel
907,Rendement,Maïs,2024,kg/ha,1256.2,X,Chiffre de source externe,
908,Production,Maïs,2024,tonnes,1010000.0,X,Chiffre de source externe,Chiffre non officiel
909,Superficie récoltée,"Manioc, frais",2010,ha,147336.0,A,Chiffre officiel,
910,Rendement,"Manioc, frais",2010,kg/ha,6167.9,A,Chiffre officiel,
911,Production,"Manioc, frais",2010,tonnes,908755.0,A,Chiffre officiel,
912,Superficie récoltée,"Manioc, frais",2011,ha,152209.0,A,Chiffre officiel,
913,Rendement,"Manioc, frais",2011,kg/ha,6560.3,A,Chiffre officiel,
914,Production,"Manioc, frais",2011,tonnes,998540.0,A,Chiffre officiel,
915,Superficie récoltée,"Manioc, frais",2012,ha,235052.0,A,Chiffre officiel,
916,Rendement,"Manioc, frais",2012,kg/ha,4083.7,A,Chiffre officiel,
917,Production,"Manioc, frais",2012,tonnes,959889.0,A,Chiffre officiel,
918,Superficie récoltée,"Manioc, frais",2013,ha,256695.0,A,Chiffre officiel,
919,Rendement,"Manioc, frais",2013,kg/ha,3517.2,A,Chiffre officiel,
920,Production,"Manioc, frais",2013,tonnes,902860.0,A,Chiffre officiel,
921,Superficie récoltée,"Manioc, frais",2014,ha,282589.0,A,Chiffre officiel,
922,Rendement,"Manioc, frais",2014,kg/ha,4080.5,A,Chiffre officiel,
923,Production,"Manioc, frais",2014,tonnes,1153109.0,A,Chiffre officiel,
924,Superficie récoltée,"Manioc, frais",2015,ha,265293.0,A,Chiffre officiel,
925,Rendement,"Manioc, frais",2015,kg/ha,3916.9,A,Chiffre officiel,
926,Production,"Manioc, frais",2015,tonnes,1039135.0,A,Chiffre officiel,
927,Superficie récoltée,"Manioc, frais",2016,ha,270422.0,A,Chiffre officiel,
928,Rendement,"Manioc, frais",2016,kg/ha,3799.5,A,Chiffre officiel,
929,Production,"Manioc, frais",2016,tonnes,1027476.0,A,Chiffre officiel,
930,Superficie récoltée,"Manioc, frais",2017,ha,267020.0,A,Chiffre officiel,
931,Rendement,"Manioc, frais",2017,kg/ha,3901.1,A,Chiffre officiel,
932,Production,"Manioc, frais",2017,tonnes,1041682.0,A,Chiffre officiel,
933,Superficie récoltée,"Manioc, frais",2018,ha,273679.0,A,Chiffre officiel,
934,Rendement,"Manioc, frais",2018,kg/ha,3980.8,A,Chiffre officiel,
935,Production,"Manioc, frais",2018,tonnes,1089472.0,A,Chiffre officiel,
936,Superficie récoltée,"Manioc, frais",2019,ha,283019.0,A,Chiffre officiel,
937,Rendement,"Manioc, frais",2019,kg/ha,3949.8,A,Chiffre officiel,
938,Production,"Manioc, frais",2019,tonnes,1117880.0,A,Chiffre officiel,
939,Superficie récoltée,"Manioc, frais",2020,ha,294061.0,A,Chiffre officiel,
940,Rendement,"Manioc, frais",2020,kg/ha,3938.1,A,Chiffre officiel,
941,Production,"Manioc, frais",2020,tonnes,1158044.0,A,Chiffre officiel,
942,Superficie récoltée,"Manioc, frais",2021,ha,302742.0,A,Chiffre officiel,
943,Rendement,"Manioc, frais",2021,kg/ha,3977.8,A,Chiffre officiel,
944,Production,"Manioc, frais",2021,tonnes,1204249.0,A,Chiffre officiel,
945,Superficie récoltée,"Manioc, frais",2022,ha,305160.0,A,Chiffre officiel,
946,Rendement,"Manioc, frais",2022,kg/ha,4013.1,A,Chiffre officiel,
947,Production,"Manioc, frais",2022,tonnes,1224641.0,A,Chiffre officiel,
948,Superficie récoltée,"Manioc, frais",2023,ha,317243.0,I,Valeur imputée par une agence réceptrice,
949,Rendement,"Manioc, frais",2023,kg/ha,3924.4,E,Valeur estimée,
950,Production,"Manioc, frais",2023,tonnes,1245000.94,I,Valeur imputée par une agence réceptrice,
951,Superficie récoltée,"Manioc, frais",2024,ha,333367.0,I,Valeur imputée par une agence réceptrice,
952,Rendement,"Manioc, frais",2024,kg/ha,3800.8,E,Valeur estimée,
953,Production,"Manioc, frais",2024,tonnes,1267066.17,I,Valeur imputée par une agence réceptrice,
954,Superficie récoltée,Mils,2010,ha,73776.0,A,Chiffre officiel,
955,Rendement,Mils,2010,kg/ha,694.9,A,Chiffre officiel,
956,Production,Mils,2010,tonnes,51265.0,A,Chiffre officiel,
957,Superficie récoltée,Mils,2011,ha,73356.0,A,Chiffre officiel,
958,Rendement,Mils,2011,kg/ha,686.5,A,Chiffre officiel,
959,Production,Mils,2011,tonnes,50362.0,A,Chiffre officiel,
960,Superficie récoltée,Mils,2012,ha,56988.0,A,Chiffre officiel,
961,Rendement,Mils,2012,kg/ha,486.1,A,Chiffre officiel,
962,Production,Mils,2012,tonnes,27703.0,A,Chiffre officiel,
963,Superficie récoltée,Mils,2013,ha,50523.0,A,Chiffre officiel,
964,Rendement,Mils,2013,kg/ha,1275.5,A,Chiffre officiel,
965,Production,Mils,2013,tonnes,64441.0,A,Chiffre officiel,
966,Superficie récoltée,Mils,2014,ha,28081.0,A,Chiffre officiel,
967,Rendement,Mils,2014,kg/ha,624.7,A,Chiffre officiel,
968,Production,Mils,2014,tonnes,17542.0,A,Chiffre officiel,
969,Superficie récoltée,Mils,2015,ha,48402.0,A,Chiffre officiel,
970,Rendement,Mils,2015,kg/ha,798.8,A,Chiffre officiel,
971,Production,Mils,2015,tonnes,38664.0,A,Chiffre officiel,
