,Élément,Produit,Année,Unité,Valeur,Symbole,Description du Symbole,Note
128,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2022,tonnes,278.48,I,Valeur imputée par une agence réceptrice,
129,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2023,ha,273.0,I,Valeur imputée par une agence réceptrice,
130,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2023,kg/ha,1029.0,E,Valeur estimée,
131,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2023,tonnes,280.56,I,Valeur imputée par une agence réceptrice,
132,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2024,ha,274.0,I,Valeur imputée par une agence réceptrice,
133,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2024,kg/ha,1015.6,E,Valeur estimée,
134,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2024,tonnes,278.71,E,Valeur estimée,
135,Superficie récoltée,Autres fruits n.a.c.,2010,ha,3900.0,E,Valeur estimée,
136,Rendement,Autres fruits n.a.c.,2010,kg/ha,6025.6,E,Valeur estimée,
137,Production,Autres fruits n.a.c.,2010,tonnes,23500.0,E,Valeur estimée,
138,Superficie récoltée,Autres fruits n.a.c.,2011,ha,4000.0,E,Valeur estimée,
139,Rendement,Autres fruits n.a.c.,2011,kg/ha,6000.0,E,Valeur estimée,
140,Production,Autres fruits n.a.c.,2011,tonnes,24000.0,E,Valeur estimée,
141,Superficie récoltée,Autres fruits n.a.c.,2012,ha,4200.0,E,Valeur estimée,
142,Rendement,Autres fruits n.a.c.,2012,kg/ha,5833.3,E,Valeur estimée,
143,Production,Autres fruits n.a.c.,2012,tonnes,24500.0,E,Valeur estimée,
144,Superficie récoltée,Autres fruits n.a.c.,2013,ha,4204.0,I,Valeur imputée par une agence réceptrice,
145,Rendement,Autres fruits n.a.c.,2013,kg/ha,5846.3,E,Valeur estimée,
146,Production,Autres fruits n.a.c.,2013,tonnes,24580.0,I,Valeur imputée par une agence réceptrice,
147,Superficie récoltée,Autres fruits n.a.c.,2014,ha,4227.0,I,Valeur imputée par une agence réceptrice,
148,Rendement,Autres fruits n.a.c.,2014,kg/ha,5857.9,E,Valeur estimée,
149,Production,Autres fruits n.a.c.,2014,tonnes,24761.87,I,Valeur imputée par une agence réceptrice,
150,Superficie récoltée,Autres fruits n.a.c.,2015,ha,4320.0,I,Valeur imputée par une agence réceptrice,
151,Rendement,Autres fruits n.a.c.,2015,kg/ha,5907.4,E,Valeur estimée,
152,Production,Autres fruits n.a.c.,2015,tonnes,25521.35,I,Valeur imputée par une agence réceptrice,
153,Superficie récoltée,Autres fruits n.a.c.,2016,ha,4399.0,I,Valeur imputée par une agence réceptrice,
154,Rendement,Autres fruits n.a.c.,2016,kg/ha,5941.9,E,Valeur estimée,
155,Production,Autres fruits n.a.c.,2016,tonnes,26139.07,I,Valeur imputée par une agence réceptrice,
156,Superficie récoltée,Autres fruits n.a.c.,2017,ha,4483.0,I,Valeur imputée par une agence réceptrice,
157,Rendement,Autres fruits n.a.c.,2017,kg/ha,5682.9,E,Valeur estimée,
158,Production,Autres fruits n.a.c.,2017,tonnes,25474.09,E,Valeur estimée,
159,Superficie récoltée,Autres fruits n.a.c.,2018,ha,4526.0,I,Valeur imputée par une agence réceptrice,
160,Rendement,Autres fruits n.a.c.,2018,kg/ha,5730.5,E,Valeur estimée,
161,Production,Autres fruits n.a.c.,2018,tonnes,25936.15,I,Valeur imputée par une agence réceptrice,
162,Superficie récoltée,Autres fruits n.a.c.,2019,ha,4579.0,I,Valeur imputée par une agence réceptrice,
163,Rendement,Autres fruits n.a.c.,2019,kg/ha,5830.4,E,Valeur estimée,
164,Production,Autres fruits n.a.c.,2019,tonnes,26697.79,I,Valeur imputée par une agence réceptrice,
165,Superficie récoltée,Autres fruits n.a.c.,2020,ha,4660.0,I,Valeur imputée par une agence réceptrice,
166,Rendement,Autres fruits n.a.c.,2020,kg/ha,5587.2,E,Valeur estimée,
167,Production,Autres fruits n.a.c.,2020,tonnes,26036.01,E,Valeur estimée,
