Annee,Culture,Exportations_Tonnes,Importations_Tonnes,Pertes_Post_Recolte_Tonnes,Production_Tonnes,Rendement_Kg_Ha,Semences_Utilisees_Tonnes,Superficie_Irriguee_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Engrais_National_Total_Tonnes,Population_Agricole_Totale
2000,Haricots (secs),19.0,46.0,,41760.0,510.0,,,142631.0,142631.0,5730.0,4135000.0
2001,Haricots (secs),8.2,151.0,,41338.0,521.0,,,148157.0,148157.0,5730.0,4135000.0
2002,Haricots (secs),0.297,79.0,,44673.0,445.0,,,168076.0,168076.0,5080.0,4135000.0
2003,Haricots (secs),1.2376,7.0,,43631.0,525.0,,,145654.0,145654.0,8435.5,4135000.0
2004,Haricots (secs),2.1782000000000004,3.0,,49419.0,472.0,,,159112.0,159112.0,10423.5,4135000.0
2005,Haricots (secs),3.1188000000000007,8.0,,67359.0,358.0,,,187944.0,187944.0,11329.0,4135000.0
2006,Haricots (secs),4.0594,9.0,,52809.0,461.0,,,186379.0,186379.0,8466.5,4135000.0
2007,Haricots (secs),5.0,10.0,,62942.0,425.0,,,180299.0,180299.0,10199.0,4135000.0
2008,Haricots (secs),3.5,77.5,,67325.0,430.0,,,193675.0,193675.0,5230.0,4135000.0
2009,Haricots (secs),2.0,145.0,,72366.93042,355.1794153,,,203747.5352,203747.5352,9870.5,4135000.0
2010,Haricots (secs),4.6,670.0,,76190.0,361.7466776,,,210617.0,210617.0,24874.1,4135000.0
2011,Haricots (secs),180.0,243.0,,76465.0,369.0894522,,,207172.0,207172.0,25854.9,4135000.0
2012,Haricots (secs),201.0,114.786,,155419.21501,409.3087073,,,379711.48,379711.48,25861.2,4235333.333333333
2013,Haricots (secs),222.0,2.0,,116602.0,330.0694946,,,353266.0,353266.0,34767.3,4339333.333333333
2014,Haricots (secs),163.0,503.0,,172119.362091225,460.351458,,,363935.9519,363935.9519,36537.7,4446333.333333333
2015,Haricots (secs),104.0,188.05,,177417.0,490.7461952,,,361524.9628,361524.9628,32970.0,4557000.0
2016,Haricots (secs),45.0,104.0,,200087.772002,567.3113285,,,352694.829,352694.829,41704.45,4670666.666666667
2017,Haricots (secs),9.036,19.95,,199358.9841,539.4388249,,,369567.3632,369567.3632,28109.75,4785333.333333333
2018,Haricots (secs),49.0,46.881,,207551.6783,547.9549676,,,378775.0647,378775.0647,28109.75,4901666.666666667
2019,Haricots (secs),8.0,102.0,,202730.162258523,521.391001348108,,,388825.587197217,388825.587197217,28109.75,5018666.666666667
2020,Haricots (secs),45.0,644.0,,202265.364999805,527.19398073246,,,383664.025751558,383664.025751558,28109.75,5137333.333333333
2021,Haricots (secs),15.0,644.0,,211876.0,546.747144025743,,,387521.0,387521.0,28109.75,5257666.666666667
2022,Haricots (secs),15.0,644.0,,216518.0,549.0,,,394376.0,394376.0,28109.75,5378333.333333333
2000,Ignames,114.8,,,563285.0,11340.0,,,51220.0,51220.0,5730.0,4135000.0
2001,Ignames,114.8,,,614962.0,10384.0,,,54048.0,54048.0,5730.0,4135000.0
2002,Ignames,114.8,,,574886.0,10752.0,,,54066.0,54066.0,5080.0,4135000.0
