Annee,Culture,Rendement_Kg_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Production_Tonnes,Superficie_Irriguee_Ha,Semences_Utilisees_Tonnes,Engrais_National_Total_Tonnes
2008,Ignames,10202.0,63975.0,62775.0,648327.0,,,5230.0
2009,Ignames,10182.70328,69177.5,69177.5,704413.9563,,,9870.5
2010,Ignames,9932.768527,71529.0,71529.0,710481.0,,,24874.1
2011,Ignames,10217.60618,71225.0,71225.0,727749.0,,,25854.9
2012,Ignames,8706.0,103475.0,106279.0,864408.0,,,25861.2
2013,Ignames,9833.286239,67241.0,67241.0,661200.0,,,34767.3
2014,Ignames,7811.436487,100672.1277,100672.1277,786393.9314,,,36537.7
2015,Ignames,9027.026325,86564.38697,86564.38697,781419.0,,,32970.0
2016,Ignames,8938.509329,91065.0,91065.0,813985.352,,,41704.45
2017,Ignames,9178.503953,90643.21411,90643.21411,826553.0,,,28109.75
2018,Ignames,9150.2184,93853.79113,93853.79113,858782.6865,,,28109.75
2019,Ignames,8949.00315962698,97694.3955432643,97694.3955432643,874267.454394521,,,28109.75
2020,Ignames,9000.0,104140.742836556,104140.742836556,940876.20824901,,,28109.75
2021,Ignames,9037.05411330768,106277.0,106277.0,960431.0,,,28109.75
2022,Ignames,9044.0,108871.0,108871.0,984614.0,,,28109.75
2000,Manioc,10380.0,123941.0,123941.0,700695.0,,,5730.0
2001,Manioc,9277.0,109014.0,109014.0,678865.0,,,5730.0
2002,Manioc,10061.0,127653.0,127653.0,727707.0,,,5080.0
2003,Manioc,9428.0,133586.0,133586.0,778865.0,,,8435.5
2004,Manioc,10130.0,115891.0,115891.0,675475.0,,,10423.5
2005,Manioc,6030.0,112471.0,112471.0,678186.0,,,11329.0
2006,Manioc,8119.0,135720.0,135720.0,767366.0,,,8466.5
2007,Manioc,7614.0,125740.0,125740.0,773162.0,,,10199.0
2008,Manioc,7602.0,131425.0,131425.0,795373.0,,,5230.0
2009,Manioc,6244.680656,143426.79,143426.79,895654.501,,,9870.5
2010,Manioc,6167.908726,147336.0,147336.0,908755.0,,,24874.1
2011,Manioc,6560.321663,152209.0,152209.0,998540.0,,,25854.9
2012,Manioc,4129.538386,251589.0,251589.0,959889.0,,,25861.2
2013,Manioc,3517.248096,256695.0,256695.0,902860.0,,,34767.3
2014,Manioc,4080.518739,282588.9377,282588.9377,1153109.456,,,36537.7
2015,Manioc,3916.936923,265292.7582,265292.7582,1039135.0,,,32970.0
2016,Manioc,3799.527831,270422.0,270422.0,1027475.915,,,41704.45
2017,Manioc,3941.712413,267020.4946,267020.4946,1041682.0,,,28109.75
2018,Manioc,3980.841472,273678.787,273678.787,1089471.865,,,28109.75
2019,Manioc,3949.83788031685,283019.245023194,283019.245023194,1117880.13485129,,,28109.75
2020,Manioc,3949.83788031685,294060.956579582,294060.956579582,1158044.44366438,,,28109.75
2021,Manioc,3977.80618480422,302742.0,302742.0,1204249.0,,,28109.75
2022,Manioc,4013.0,305160.0,305160.0,1224641.0,,,28109.75
2000,Maïs,1305.72642835667,369183.0,369183.0,482052.0,,131.22,5730.0
2001,Maïs,1169.0,411581.0,411581.0,464091.0,,131.22,5730.0
2002,Maïs,1276.0,403153.0,403153.0,510060.0,,131.22,5080.0
2003,Maïs,1089.69260701201,422534.0,422534.0,537860.0,,131.22,8435.5
2004,Maïs,1275.0,479549.0,479549.0,522561.0,,131.22,10423.5
2005,Maïs,1158.0,439481.0,439481.0,509468.0,,131.22,11329.0
2006,Maïs,1155.0,465282.0,465282.0,543343.0,,131.22,8466.5
2007,Maïs,1171.0,468200.0,468200.0,546050.0,,131.22,10199.0
2008,Maïs,1192.0,494994.0,494994.0,590104.0,,131.22,5230.0
2009,Maïs,1255.865409,518955.47,518955.47,651738.2235,,131.22,9870.5
2010,Maïs,1212.896049,715857.0,715857.0,868260.127,,131.22,24874.1
2011,Maïs,1245.127997,522629.0,522629.0,650740.0,,131.22,25854.9
2012,Maïs,1142.0,754739.29,754739.29,862257.4314,,131.22,25861.2
2013,Maïs,924.3575234,749288.0,749288.0,692610.0,,131.22,34767.3
2014,Maïs,1195.891536,696588.0,696588.0,833043.693,,131.22,36537.7
2015,Maïs,1389.546516,571885.1371,571885.1371,794661.0,,131.22,32970.0
2016,Maïs,1223.524788,675831.0,675831.0,826895.981,,131.22,41704.45
2017,Maïs,1230.792285,694422.0631,694422.0631,854689.318,,131.22,28109.75
2018,Maïs,1239.565278,715274.8941,715274.8941,886629.9229,,131.22,28109.75
2019,Maïs,1227.11994865433,743273.339430587,743273.339430587,912085.542118198,,131.22,28109.75
2020,Maïs,1227.11994865433,721872.006154209,721872.006154209,885030.406662367,,131.22,28109.75
2021,Maïs,1230.18537130539,755187.0,755187.0,929020.0,,131.22,28109.75
2022,Maïs,1254.0,763336.0,763336.0,957047.0,,131.22,28109.75
2000,Millet,620.0,79580.0,79580.0,37373.0,,,5730.0
2001,Millet,640.0,78580.0,78580.0,41248.0,,,5730.0
2002,Millet,679.09517,76169.0,76169.0,51726.0,,,5080.0
2003,Millet,696.4436105,67681.0,67681.0,47136.0,,,8435.5
2004,Millet,709.4120984,49362.0,49362.0,35018.0,,,10423.5
2005,Millet,820.8847697,51358.0,51358.0,42159.0,,,11329.0
2006,Millet,686.8724493,61748.0,61748.0,42413.0,,,8466.5
2007,Millet,758.0,72481.0,72481.0,45456.0,,,10199.0
2008,Millet,778.0,72048.0,72048.0,47402.0,,,5230.0
2009,Millet,687.6602941,71467.968,71467.968,49145.68389,,,9870.5
2010,Millet,654.1964867,73776.0,73776.0,48264.0,,,24874.1
2011,Millet,686.5559736,73356.0,73356.0,50363.0,,,25854.9
2012,Millet,502.0,58441.0,58441.0,29339.0,,,25861.2
2013,Millet,1275.478495,50523.0,50523.0,64441.0,,,34767.3
2014,Millet,624.6867401,51804.0,51804.0,39683.602,,,36537.7
2015,Millet,740.7518057,54002.0,54002.0,40002.07901,,,32970.0
2016,Millet,829.8543597,60416.97308,60416.97308,50137.28851,,,41704.45
2017,Millet,593.0977643,43912.0701,43912.0701,26044.1506,,,28109.75
2018,Millet,586.3869616,38571.84449,38571.84449,22618.02669,,,28109.75
2019,Millet,598.689520009408,44776.8657229804,44776.8657229804,26807.4402472168,,,28109.75
2020,Millet,598.689520009408,45385.0,45385.0,27237.0,,,28109.75
2021,Millet,593.098120010301,46596.0,46596.0,27636.0,,,28109.75
2022,Millet,611.0,46942.0,46942.0,27915.0,,,28109.75
2000,Patates douces,3866.0,5163.0,1643.0,2752.0,,,5730.0
2001,Patates douces,3866.0,5163.0,1831.0,1353.0,,,5730.0
2002,Patates douces,3866.0,5163.0,1494.0,5448.0,,,5080.0
2003,Patates douces,3866.0,5163.0,814.0,1425.0,,,8435.5
2004,Patates douces,3866.0,5163.0,631.0,431.0,,,10423.5
2005,Patates douces,3866.0,5163.0,793.0,2399.0,,,11329.0
2006,Patates douces,3866.0,5163.0,296.0,2191.0,,,8466.5
2008,Patates douces,3866.0,5163.0,597.0,3989.0,,,5230.0
2009,Patates douces,3866.0,5163.0,597.0,3989.0,,,9870.5
2010,Patates douces,3866.0,5163.0,603.0,4753.0,,,24874.1
2011,Patates douces,3866.0,5163.0,598.0,4740.0,,,25854.9
2012,Patates douces,6565.0,2594.0,5984.0,19957.0,,,25861.2
2013,Patates douces,3866.0,5163.0,5163.0,11337.0,,,34767.3
2014,Patates douces,3115.0,3691.0,3691.0,11497.0,,,36537.7
2015,Patates douces,3115.0,3691.0,3691.0,8301.0,,,32970.0
2016,Patates douces,3279.5725030000003,3113.16049,819.0,2737.0,,,41704.45
2017,Patates douces,3444.145006,2535.32098,2535.32098,8732.013091,,,28109.75
2018,Patates douces,3641.826276,2347.93038,2347.93038,8550.754553,,,28109.75
2019,Patates douces,3638.9926578799696,2506.96519,2375.0,8672.0,,,28109.75
2021,Patates douces,3636.15903975994,2666.0,2666.0,9694.0,,,28109.75
2022,Patates douces,3622.0,2738.0,2738.0,9919.0,,,28109.75
2000,Riz (paddy),2083.0,32413.0,32413.0,59306.0,2.083,,5730.0
