Annee,Culture,Importations_Tonnes,Exportations_Tonnes,Pertes_Post_Recolte_Tonnes,Population_Agricole_Totale
2007,Millet,15.473684210526315,82.85714285714286,,4135000.0
2008,Millet,18.05263157894737,95.82857142857142,,4135000.0
2009,Millet,20.63157894736842,108.8,,4135000.0
2010,Millet,23.210526315789473,121.77142857142857,,4135000.0
2011,Millet,25.789473684210527,134.74285714285713,,4135000.0
2012,Millet,28.36842105263158,147.71428571428572,,4235333.333333333
2013,Millet,30.94736842105263,160.68571428571428,,4339333.333333333
2014,Millet,33.526315789473685,173.65714285714284,,4446333.333333333
2015,Millet,36.10526315789474,186.62857142857143,,4557000.0
2016,Millet,38.68421052631579,199.6,,4670666.666666667
2017,Millet,41.26315789473684,257.0,,4785333.333333333
2018,Millet,43.8421052631579,173.0,,4901666.666666667
2019,Millet,46.421052631578945,323.0,,5018666.666666667
2020,Millet,49.0,197.0,,5137333.333333333
2021,Millet,49.0,197.0,,5257666.666666667
2022,Millet,49.0,197.0,,5378333.333333333
2000,Patates douces,,60.0,,4135000.0
2001,Patates douces,,60.0,,4135000.0
2002,Patates douces,,60.0,,4135000.0
2003,Patates douces,,60.0,,4135000.0
2004,Patates douces,,60.0,,4135000.0
2005,Patates douces,,60.0,,4135000.0
2006,Patates douces,,55.0,,4135000.0
2008,Patates douces,,50.0,,4135000.0
2009,Patates douces,,45.0,,4135000.0
2010,Patates douces,,40.0,,4135000.0
2011,Patates douces,,35.0,,4135000.0
2012,Patates douces,,30.0,,4235333.333333333
2013,Patates douces,,25.0,,4339333.333333333
2014,Patates douces,,20.0,,4446333.333333333
2015,Patates douces,,15.0,,4557000.0
2016,Patates douces,,10.0,,4670666.666666667
2017,Patates douces,,5.0,,4785333.333333333
2018,Patates douces,,0.0,,4901666.666666667
2019,Patates douces,,0.0,,5018666.666666667
2021,Patates douces,,0.0,,5257666.666666667
2022,Patates douces,,0.0,,5378333.333333333
2000,Riz (paddy),3.0,0.0,,4135000.0
2001,Riz (paddy),0.0,0.0,,4135000.0
2002,Riz (paddy),0.6666666666666666,0.0,,4135000.0
2003,Riz (paddy),1.3333333333333333,0.0,,4135000.0
2004,Riz (paddy),2.0,0.0,,4135000.0
2005,Riz (paddy),0.0,0.0,,4135000.0
2006,Riz (paddy),354.91,0.0,,4135000.0
2007,Riz (paddy),709.82,0.0,,4135000.0
2008,Riz (paddy),1064.73,0.0,,4135000.0
2009,Riz (paddy),112.014,0.0,,4135000.0
2010,Riz (paddy),0.0,0.0,,4135000.0
2011,Riz (paddy),240.0,0.0,,4135000.0
2012,Riz (paddy),0.568,332.2,,4235333.333333333
2013,Riz (paddy),3685.497,0.4,,4339333.333333333
2014,Riz (paddy),0.0,0.0,,4446333.333333333
2015,Riz (paddy),35.0,0.0,,4557000.0
2016,Riz (paddy),6.051,0.0,,4670666.666666667
2017,Riz (paddy),71.76,0.0,,4785333.333333333
2018,Riz (paddy),19.603,0.0,,4901666.666666667
2019,Riz (paddy),0.0,0.0,,5018666.666666667
2020,Riz (paddy),528.162,0.0,,5137333.333333333
2021,Riz (paddy),1590.95,0.0,,5257666.666666667
2022,Riz (paddy),1524.55,0.0,,5378333.333333333
2000,Sorgho,47.0,2.0,,4135000.0
2001,Sorgho,47.0,0.0,,4135000.0
2002,Sorgho,47.0,10.0,,4135000.0
2003,Sorgho,47.0,20.0,,4135000.0
