"country","commodity","indicator","Unit","Date","Value"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2004","167488"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2005","209754"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2006","215456"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2007","211779"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2008","213007"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2009","216435.52"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2010","202319"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2011","220917"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2012","345111"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2013","302123"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2014","313039.0604"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2015","304185"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2016","317189"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2017","315541.8763"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2018","318834.329"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2019","317825.988834573"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2020","311244.574553312"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2021","316034"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2022","317571"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2000","870"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2001","771.59532650239"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2002","861.663865890647"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2003","921.270102720601"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2004","1013.69650363011"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2005","982"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2006","1042.55161146591"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2007","1027"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2008","1059"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2009","1098.08572"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2010","1209.347614"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2011","1101.169217"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2012","832"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2013","944.3703392"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2014","934.6032588"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2015","847.7901211"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2016","859.9794318"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2017","875.21587"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2018","869.5423826"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2019","889.108269665341"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2020","900"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2021","876.443673781935"
"Togo","1.1.1.4. Sorghum","Yield on area harvested (Kg/Ha)","KG/HA","2022","884"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2000","155401"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2001","163271"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2002","168983"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2003","155569"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2004","169782"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2005","206032"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2006","221155"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2007","210298"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2008","211257"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2009","237664.7537"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2010","244674"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2011","243267"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2012","250892"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2013","285316"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2014","307579"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2015","270863"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2016","272776.016"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2017","276167.2578"
